Symbol,LTP,% Change,Open,High,Low,Qty.,PClose,Diff.,,
GUFL,579.40,0.65,576.10,590.00,575.00,"10,934",575.66,3.74,,
GVL,462.23,1.91,462.00,467.00,457.00,"13,552",453.57,8.66,,
GWFD83,"1,184.10",0.19,"1,181.90","1,181.90","1,181.90",3,"1,181.90",2.2,,
H8020,10.21,0.39,10.00,10.21,10.00,"2,050",10.17,0.04,,
HATHY,"1,252.71",4.47,"1,199.15","1,279.90","1,195.00","28,107","1,199.15",53.56,,
HBL,232.82,1.12,226.50,234.50,226.50,"39,852",230.25,2.57,,
HDHPC,197.11,1.27,193.00,200.10,193.00,"103,478",194.63,2.48,,
HDL,"1,199.05",0.89,"1,188.00","1,211.00","1,187.00","38,439","1,188.43",10.62,,
HEI,600.00,1.69,591.00,602.00,585.20,"11,614",590.04,9.96,,
HEIP,373.65,-8.09,398.50,398.50,365.90,"50,859",406.55,-32.9,,
HHL,496.72,4.07,478.00,500.00,459.20,"13,075",477.28,19.44,,
HIDCL,263.45,2.37,252.30,265.00,252.30,"170,794",257.36,6.09,,
HIDCLP,174.12,2.99,170.90,175.00,169.00,"134,175",169.06,5.06,,
HLBSL,950.35,0.89,960.00,960.00,941.00,"2,382",941.99,8.36,,
HLI,424.19,3.09,412.10,427.00,412.10,"35,644",411.49,12.7,,
HPPL,586.58,3,580.00,592.50,570.00,"40,801",569.47,17.11,,
HRL,978.47,4.15,936.00,989.00,936.00,"432,277",939.44,39.03,,
HURJA,232.75,2.32,232.00,235.00,227.50,"59,757",227.47,5.28,,
ICFC,598.71,0.63,603.90,603.90,587.00,"16,692",594.96,3.75,,
ICFCD83,"1,200.00",1.44,"1,206.60","1,206.60","1,200.00",20,"1,183.00",17,,
ICFCD88,"1,068.18",1.1,"1,054.00","1,070.00","1,052.00",250,"1,056.60",11.58,,
IGI,568.89,1.67,555.10,572.90,551.00,"24,606",559.57,9.32,,
IHL,666.93,1.93,664.00,667.30,642.00,"4,505",654.32,12.61,,
ILBS,914.26,-0.09,920.00,933.00,908.00,"3,230",915.06,-0.8,,
ILI,456.79,1.41,459.40,459.40,447.10,"19,956",450.45,6.34,,
JBBD87,"1,055.15",-0.07,"1,055.00","1,055.00","1,055.00",30,"1,055.90",-0.75,,
JBBL,339.13,2.13,333.00,341.00,330.00,"36,669",332.06,7.07,,
JBLB,"1,331.45",1.41,"1,334.00","1,339.00","1,315.00","2,761","1,312.92",18.53,,
JFL,508.31,2.3,505.00,513.50,501.00,"28,172",496.86,11.45,,
JOSHI,350.77,1.81,351.40,357.00,342.20,"33,137",344.54,6.23,,
JSLBB,"1,454.87",1.93,"1,449.10","1,455.90","1,425.00",886,"1,427.39",27.48,,
KBL,203.10,1.54,200.00,204.10,200.00,"173,395",200.01,3.09,,
KBLD90,"1,116.10",0.06,"1,115.40","1,115.40","1,115.40",1,"1,115.40",0.7,,
KBSH,"2,390.55",-0.74,"2,361.00","2,447.00","2,361.00","1,465","2,408.40",-17.85,,
KDBY,9.09,2.25,8.78,9.15,8.78,"7,150",8.89,0.2,,
KDL,"1,095.66",1.5,"1,100.00","1,111.00","1,080.00","2,625","1,079.52",16.14,,
KEF,8.89,0.91,8.90,8.90,8.73,"2,200",8.81,0.08,,
KKHC,333.52,2.41,332.10,335.00,325.70,"15,282",325.66,7.86,,
KMCDB,"1,048.25",3.06,"1,033.90","1,075.60","1,018.00","2,447","1,017.08",31.17,,
KPCL,519.00,1.43,519.80,522.00,507.70,"9,053",511.66,7.34,,
KSBBL,437.24,-0.24,447.00,447.00,432.30,"14,713",438.31,-1.07,,
KSY,8.77,-1.9,8.78,8.80,8.77,500,8.94,-0.17,,
LBBL,417.68,1.24,420.80,421.00,410.00,"19,098",412.56,5.12,,
LBBLD89,"1,150.10",-1.87,"1,150.10","1,150.10","1,150.10",25,"1,172.00",-21.9,,
LEC,208.34,1.48,208.00,210.00,205.30,"71,355",205.31,3.03,,
LICN,"1,013.31",2.97,985.00,"1,020.00",985.00,"33,732",984.13,29.18,,
LLBS,"1,028.07",0.57,"1,042.00","1,042.00","1,020.50","2,777","1,022.26",5.81,,
LSL,216.80,0.39,218.00,219.00,213.70,"98,613",215.95,0.85,,
LSLPO,109.60,-9.42,118.60,118.60,109.60,"300,000",121.00,-11.4,,
LUK,9.55,-0.42,9.47,9.55,9.47,"4,765",9.59,-0.04,,
LVF2,9.07,0.44,8.86,9.07,8.86,"1,500",9.03,0.04,,
MAKAR,696.71,1.81,696.00,700.00,672.20,"5,904",684.31,12.4,,
MANDU,875.83,1.46,865.00,879.80,863.00,"1,596",863.23,12.6,,
MATRI,"1,184.46",1.25,"1,169.00","1,200.00","1,169.00","1,277","1,169.89",14.57,,
MBJC,317.27,0.59,315.00,323.00,313.00,"28,319",315.41,1.86,,
MBL,224.97,1.94,223.00,228.00,221.00,"98,122",220.68,4.29,,
MCHL,555.52,1.35,538.20,559.00,538.20,"3,450",548.12,7.4,,
MDB,615.75,2.41,605.00,619.40,602.20,"16,702",601.26,14.49,,
MEHL,533.63,5.19,498.00,538.00,498.00,"19,392",507.30,26.33,,
MEL,313.30,2.2,300.50,314.90,300.50,"36,733",306.56,6.74,,
MEN,576.06,1.2,579.90,590.00,570.00,"17,936",569.25,6.81,,
MERO,721.22,4.31,678.00,738.00,678.00,"10,302",691.43,29.79,,
MFIL,601.31,0.57,600.00,606.00,588.00,"16,315",597.91,3.4,,
MHCL,511.88,2.67,497.00,518.00,496.00,"14,845",498.55,13.33,,
MHL,706.46,2.06,690.00,723.00,685.10,"3,847",692.19,14.27,,
MHNL,265.29,5.85,251.00,267.00,250.40,"19,289",250.62,14.67,,
MKCL,"1,567.82",2.55,"1,545.00","1,576.00","1,535.00","3,192","1,528.87",38.95,,
MKHC,529.51,4.43,498.00,546.00,490.00,"18,775",507.06,22.45,,
MKHL,687.00,0.51,697.00,697.00,669.90,"11,365",683.51,3.49,,
MKJC,530.85,1.13,530.00,536.00,522.30,"16,997",524.92,5.93,,
MLBBL,"1,548.05",2.16,"1,500.00","1,560.60","1,485.00","9,993","1,515.25",32.8,,
MLBL,396.91,2.81,388.00,403.50,383.00,"78,912",386.05,10.86,,
MLBLD89,"1,166.90",0.06,"1,166.20","1,166.20","1,166.20",1,"1,166.20",0.7,,
MLBS,"1,725.80",0.63,"1,710.00","1,734.00","1,666.20","1,362","1,714.93",10.87,,
